NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Caleb Martin,SF,23,32.2,11.4,4.5,9.2,48.8,1.5,3.6,41.5,1,1.3,76.7,4.8,2,1.2,0.4,1.1,0,0,13.35
Jalen Smith,PF,24,23.5,11.4,4.2,9.3,44.8,1.2,4.1,29.6,1.9,2.4,77.6,6.9,1.1,0.3,1,1.3,4,0,15
Keegan Murray,SF,20,28.4,11.3,4.1,9.9,41.4,1.9,5.7,33.3,1.2,1.4,85.2,4.1,0.9,0.8,0.6,1.6,0,0,9.14
Bruce Brown,SF,23,30,11.2,4.5,9.5,47.2,1.3,3.4,39.7,0.9,1,87.5,4.5,4.5,1.1,0.5,1.9,3,1,13.54
Caris LeVert,SG,20,31,11.2,3.8,10.2,37.3,1.5,4.1,36.6,2.1,2.7,79.2,4.5,4.5,0.8,0.1,1.9,1,0,10.78
Chris Boucher,PF,20,23,11.2,3.9,8.6,45.6,0.9,3,28.3,2.6,3.6,71.8,6.3,0.7,0.8,0.8,0.8,4,0,18
Jaden McDaniels,PF,20,29.3,11.2,4.4,8.2,54,1.1,3,37.3,1.3,1.7,76.5,3.4,1.3,1.1,1.4,1.6,0,0,12.34
Kenyon Martin Jr.,F,24,24.5,11,4.2,7.8,54.3,0.9,2.8,32.4,1.7,2.4,69,5.1,1.4,0.4,0.4,1.2,2,0,15.82
Kentavious Caldwell-Pope,SG,22,31.2,11,3.9,8.4,45.9,2.1,4.5,46,1.1,1.5,78.1,2.9,2.1,1.2,0.4,1.3,0,0,11.3
De'Anthony Melton,SG,22,28.9,10.9,4.1,10.2,40.4,2,5.6,35.8,0.6,1,66.7,4.5,3.4,2,0.5,1.8,0,0,13.78
Grayson Allen,SG,20,27,10.9,3.4,7.4,45.6,2,4.6,43.5,2.2,2.4,91.5,3.5,2.6,0.8,0.3,1.3,0,0,14.54
Jalen Williams,F,20,25.6,10.8,4.4,8.2,53.4,0.7,2.3,30.4,1.4,1.8,80,3.3,2.5,0.6,0.4,1.6,1,0,12.92
Derrick White,PG,25,26.2,10.8,3.6,7.7,46.9,1.8,4.2,43.4,1.7,1.9,89.6,3,3.3,0.8,0.7,1,1,0,15.69
Ivica Zubac,C,25,30.4,10.7,4.2,6.8,62.7,0,0,0,2.2,3.2,67.9,11.5,1.2,0.4,1.7,2.2,10,0,16.92
Herbert Jones,SF,17,28.2,10.6,3.7,8.4,44.4,0.8,2.9,28.6,2.4,3.2,74.1,3.7,2.1,1.2,0.8,1.2,0,0,11.95
Kevin Love,PF,18,20.9,10.4,3.2,7.7,42,2.2,5.5,39.4,1.8,2.1,86.8,7.4,2.4,0.2,0.2,1.3,4,0,17.78
Tyus Jones,PG,24,23.9,10.4,4.1,9.1,45,1.5,3.9,37.6,0.8,1.1,70.4,2.1,4.5,0.6,0.1,1,2,0,15.41
Austin Reaves,SG,22,28.7,10.4,3.2,6,53.4,1.1,2.8,38.7,2.9,3.1,91.3,3.2,2,0.4,0.3,1,0,0,12.91
Ayo Dosunmu,SG,22,28.4,10.4,4.3,8.3,51.6,1,3,33.3,0.8,0.9,90,3.4,2.9,0.6,0.4,1.5,0,0,11.39
Doug McDermott,SF,20,20.7,10.3,3.9,8.3,47.3,2,4.8,40.6,0.5,0.8,62.5,1.9,1.5,0.1,0.2,1,0,0,11.14
Josh Richardson,SG,17,22.8,10.2,3.5,8.6,40.4,1.7,4.7,36.3,1.6,1.9,84.4,2.2,3,0.7,0.1,1.7,1,0,10.95
Al Horford,C,20,31.6,10.2,4,7.4,53.7,2.1,4.4,46.6,0.3,0.4,62.5,6.3,2.8,0.5,1,0.8,2,0,14.6
Jalen McDaniels,PF,24,26.5,10.1,3.7,8.5,43.8,1.3,3.5,35.3,1.5,1.7,85.4,4.6,2.3,1,0.5,1.3,1,0,12.39
Immanuel Quickley,SG,24,22.8,10,3.5,8.3,41.5,1.2,3.8,30.8,2,2.3,83.9,4.5,3,1,0.1,1.5,1,0,14.12
Jose Alvarado,PG,23,21.2,10,3.7,7.8,47.2,1.7,4.1,40.4,0.9,1.1,84,2.4,3.3,1.2,0.2,1.3,0,0,15.85
Royce O'Neale,PF,25,35.9,9.7,3.4,8.8,38.2,2.3,5.7,40.8,0.6,0.9,69.6,5.3,4.7,1.2,0.7,1.8,1,1,9.74
Georges Niang,SF,23,19.7,9.7,3.4,7.3,46.2,2.3,5.3,43.1,0.6,0.7,86.7,2.1,1.1,0.5,0.3,0.8,0,0,14.09
